Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
Sports Events,Closed Won,8014.0,YEARLONG75BONUS,operations,not target,Outbound,Chicago,2020,9,2020,9
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Other,300.0,MONTH50CUTBACK,financial control,not target,Inbound,Chicago,2019,12,2020,1
Educational Seminars,Closed Won,450.0,SAVEQUARTER25,financial control,not target,Inbound,Jacksonville,2019,11,2019,11
Corporate Events,Closed Won,120.0,GIVEAWAYFREE,operations,not target,Outbound,San Diego,2020,3,2020,3
Corporate Events,Closed Lost,300.0,MONTH50CUTBACK,financial control,no budget,Outbound,San Jose,2019,11,2019,11
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,quality of delivery,no response,Outbound,San Francisco,2019,11,2019,11
Corporate Events,Other,240.0,MONTH50REBATE,quality of delivery,not target,Outbound,Charlotte,2019,12,2019,12
Corporate Events,Other,240.0,MONTH50REBATE,financial control,not target,Inbound,Philadelphia,2019,5,2020,1
Sports Events,Other,360.0,25GIFT,operations,not target,Inbound,Chicago,2019,12,2019,12
Sports Events,Closed Lost,0.0,2SEMESTERS20OFF,quality of delivery,no product fit,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,quality of delivery,not target,Inbound,Denver,2019,11,2019,11
Corporate Events,Closed Won,200.0,MONTHSAVE25DEAL,operations,not target,Outbound,Chicago,2019,12,2019,12
Sports Events,Closed Won,576.0,HALFSEASON20G,operations,not target,Inbound,Chicago,2019,7,2019,7
Wedding Planning,Closed Lost,1303.7540329575022,2SEMESTERS20OFF,operations,no budget,Inbound,Chicago,2019,8,2019,1
Corporate Events,Closed Won,1344.0,YEARLY30PROMO,quality of delivery,not target,Inbound,Chicago,2019,11,2019,12
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,financial control,lost to competitor,Inbound,Austin,2020,10,2020,10
Corporate Events,Closed Lost,0.0,2SEMESTERS20OFF,operations,not target,Outbound,Chicago,2019,8,2019,11
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,financial control,not target,Inbound,Chicago,2019,10,2019,10
Corporate Events,Closed Won,45744.0,DISCOUNT75SPECIAL,operations,not target,Inbound,Chicago,2019,7,2019,7
Corporate Events,Closed Won,240.0,MONTH50REBATE,financial control,not target,Outbound,Chicago,2019,12,2019,12
Educational Seminars,Other,768.0,HALFYEAR20G,operations,not target,Outbound,Chicago,2020,2,2020,2
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Outbound,Phoenix,2019,5,2020,1
Corporate Events,Closed Won,300.0,SAVEMONTH50SPECIAL,operations,not target,Inbound,Chicago,2019,7,2019,7
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,11,2020,1
Educational Seminars,Closed Lost,1344.0,ANNUAL30BONUS,financial control,lost to competitor,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,360.0,SAVE25LESS,operations,not target,Outbound,Houston,2019,11,2019,11
Educational Seminars,Closed Lost,600.0,PROMOCODE,quality of delivery,no response,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,150.0,ECONOMY75DISCOUNT,operations,not target,Inbound,Indianapolis,2020,2,2020,3
Corporate Events,Other,768.0,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2019,2,2020,1
Sports Events,Closed Won,150.0,MONTH75SPECIAL,operations,not target,Outbound,Chicago,2019,9,2020,2
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Other,0.0,2SEMESTERS20OFF,financial control,not target,Outbound,San Diego,2020,3,2020,3
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Washington,2019,12,2019,12
Corporate Events,Closed Lost,1344.0,YEARLY30PROMO,quality of delivery,not target,Inbound,San Francisco,2019,11,2019,12
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,financial control,not target,Outbound,Jacksonville,2019,12,2019,12
Wedding Planning,Closed Won,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,12,2019,12
Sports Events,Closed Won,960.0,YEARLY60,operations,not target,Inbound,Chicago,2020,2,2020,3
Wedding Planning,Closed Lost,1303.7540329575022,2SEMESTERS20OFF,operations,no response,Inbound,Chicago,2019,9,2019,9
Corporate Events,Closed Won,200.0,ECONOMY75DISCOUNT,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,960.0,ANNUAL60DEAL,financial control,not target,Inbound,Chicago,2020,4,2020,4
Sports Events,Closed Lost,360.0,25GIFT,operations,no product fit,Outbound,Chicago,2019,9,2019,10
Educational Seminars,Closed Won,768.0,HALFYEAR20G,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,operations,not target,Outbound,San Jose,2019,11,2019,11
Corporate Events,Other,600.0,PROMOTIONCODE,quality of delivery,not target,Outbound,Washington,2019,7,2019,7
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,operations,not target,Inbound,Chicago,2019,8,2019,8
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,San Diego,2019,12,2019,12
Corporate Events,Other,0.0,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2020,1,2020,1
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Chicago,2020,8,2020,8
Corporate Events,Other,324.0,10OFFREDUCED,operations,not target,Inbound,Chicago,2019,12,2020,1
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Educational Seminars,Closed Won,150.0,MONTH75SPECIAL,financial control,not target,Outbound,Washington,2019,8,2019,11
Corporate Events,Closed Won,1680.0,YEARLY30DISCOUNT,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,324.0,10OFFREDUCED,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Lost,150.0,QUARTERLY75OFF,operations,not target,Outbound,Chicago,2020,4,2020,8
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,operations,not target,Inbound,Denver,2020,10,2020,10
Corporate Events,Closed Lost,360.0,SAVE25LESS,operations,not target,Outbound,Dallas,2019,11,2019,11
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Phoenix,2019,11,2020,1
Educational Seminars,Closed Lost,0.0,2SEMESTERS20OFF,financial control,no product fit,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,operations,no product fit,Inbound,Chicago,2019,8,2019,8
Sports Events,Closed Lost,200.0,2SEMESTERS20OFF,operations,no product fit,Inbound,Chicago,2019,11,2019,11
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2019,11,2020,1
Educational Seminars,Other,0.0,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Won,120.0,NOCOSTREG,financial control,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,1008.0,RENEW30YEARLY,financial control,not target,Inbound,Chicago,2019,11,2019,11
Sports Events,Closed Won,300.0,ECONOMY50SPECIAL,operations,not target,Inbound,Chicago,2019,9,2019,9
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Lost,960.0,SEMESTER20DEALAGAIN,operations,no response,Inbound,Chicago,2020,2,2020,10
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2020,3,2020,1
Sports Events,Other,420.0,2SEMESTERS20OFF,operations,not target,Inbound,Chicago,2020,9,2020,1
Corporate Events,Other,1344.0,YEARLY30PROMO,financial control,not target,Inbound,San Francisco,2019,8,2019,8
Sports Events,Closed Lost,0.0,2SEMESTERS20OFF,operations,no product fit,Outbound,Chicago,2019,10,2019,11
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,financial control,not target,Inbound,Charlotte,2019,11,2019,7
Corporate Events,Closed Won,300.0,MONTH50CUTBACK,operations,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Other,1303.7540329575022,2SEMESTERS20OFF,financial control,not target,Inbound,Chicago,2019,12,2020,1
Corporate Events,Closed Lost,360.0,MONTHSAVE25DEAL,quality of delivery,lost to competitor,Inbound,Chicago,2020,3,2020,8
Educational Seminars,Closed Won,120.0,MONTH75SAVINGS,operations,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,768.0,2SEMESTERS20OFF,financial control,not target,Inbound,Seattle,2019,5,2019,5
Corporate Events,Closed Lost,324.0,10OFFREDUCED,operations,lost to competitor,Inbound,San Jose,2019,5,2019,9
Corporate Events,Closed Lost,768.0,2SEMESTERS20OFF,financial control,price,Outbound,Washington,2020,2,2020,3
Educational Seminars,Closed Lost,200.0,2SEMESTERS20OFF,quality of delivery,lost to competitor,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,576.0,2SEMESTERS20SALE,time saving,not target,Outbound,Chicago,2020,8,2020,8
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Outbound,Chicago,2019,11,2019,2
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,financial control,not target,Inbound,San Francisco,2019,1,2019,1
Educational Seminars,Closed Lost,240.0,ECONOMY50GIFT,operations,no product fit,Outbound,Columbus,2019,1,2019,1
Educational Seminars,Closed Won,576.0,HALFSEASON20G,operations,not target,Outbound,Chicago,2019,2,2019,5
Educational Seminars,Other,576.0,HALFSEASON20G,operations,not target,Inbound,Chicago,2019,11,2019,11
Educational Seminars,Closed Won,120.0,NOCOSTREG,financial control,not target,Inbound,Chicago,2019,11,2019,11
