Id,Source,Discarded/Nurturing Reason,Acquisition Campaign,City
uc5wwo0g,Inbound,Not Target,,San Francisco
5gfdal6w,Inbound,Competitor,,Washington
7ke4upwc,Inbound,Not Target,,Indianapolis
n9b036n2,Inbound,Not the right moment,,San Francisco
adp2stph,Inbound,Not Target,,Dallas
dswwk5vg,Inbound,Not the right moment,,San Diego
3t1v7u8s,Inbound,Not Target,,
p4gewg6p,Inbound,Not feeling,,Dallas
aa11amx6,Inbound,Not the right moment,,Chicago
dzzzldtw,Inbound,Not feeling,Follow-up: digital guide 2,
3dn1rz9q,Inbound,,,
twrdkp1f,Inbound,Not the right moment,,Chicago
czmym7n8,Inbound,,,Philadelphia
h0hosaoe,Inbound,Competitor,,
nm8rz9io,Inbound,Unreachable,,Chicago
4vqh0bk2,Inbound,Not the right moment,,San Diego
5efaojkr,Inbound,Competitor,Follow-up: digital guide 2,Seattle
fc7n4emi,Inbound,Unreachable,,San Diego
bpfo90je,Inbound,Not Target,,San Francisco
ffy9kl3y,Inbound,Not the right moment,Follow-up: digital guide 2,
rovgve26,Inbound,Not feeling,,Philadelphia
uhbahge1,Inbound,Wrong Data,,Houston
x3d6fyal,Inbound,,,Chicago
2pykdx0w,Inbound,Competitor,,
izjss7mq,Inbound,Not the right moment,,Denver
jeuupnk6,Inbound,,,New York
2iym4ubh,Inbound,Not Fit,,Denver
s7dbj715,Inbound,,,Chicago
mzzdgzf6,Inbound,Competitor,,San Francisco
e9jiwh3g,Inbound,,,Chicago
gj1zu0bj,Inbound,Not feeling,Follow-up: digital guide 2,
v4ah5z2u,Inbound,Unreachable,,Chicago
8fc70eb9,Inbound,,,Jacksonville
lofrn2sk,Inbound,Not Fit,,San Francisco
tzkzokvi,Inbound,Not Fit,,San Diego
p8gnefns,Inbound,Not the right moment,Follow-up: digital guide 2,
buk3d0v6,Inbound,Unreachable,,
vikwy3v8,Inbound,,,Washington
v21lwmzu,Inbound,Not feeling,,Chicago
ris4neld,Inbound,Unreachable,Follow-up: digital guide 2,Chicago
3siymwgr,Inbound,Not feeling,,Dallas
b1xjor2b,Inbound,Wrong Data,,Chicago
86u05twq,Inbound,Not Target,,San Antonio
7hcft1v3,Inbound,Not Target,,Houston
35kfnys7,Inbound,Competitor,,Denver
ncmwalgd,Inbound,Not the right moment,,San Francisco
gor2dm89,Inbound,Not Target,,Chicago
xtyd3by9,Inbound,Not Fit,,San Francisco
yx75u4re,Inbound,Not the right moment,,
c083najr,Inbound,,,
enfxpt97,Inbound,Not feeling,,
za06h207,Inbound,,,
1jm2pahe,Inbound,Not the right moment,,Dallas
ez52sihz,Inbound,Not Fit,,Austin
s9g1qp4e,Inbound,Not Target,,Jacksonville
x7ytl84o,Inbound,,,Columbus
rdvbba3h,Inbound,Unreachable,,San Francisco
0r6b0f1j,Inbound,Unreachable,,Indianapolis
q35vxuk7,Inbound,,,Chicago
d62ds16t,Inbound,Not Target,,
k9ak9k3f,Inbound,Wrong Data,,Indianapolis
g57fctqn,Inbound,Not Target,,San Francisco
g55mm4hs,Inbound,Not Target,,
6ig9v10n,Inbound,Not the right moment,,Jacksonville
awiytw4v,Inbound,Not Target,,Chicago
xcvp6umr,Inbound,Not the right moment,,San Francisco
54e3q9d1,Inbound,,,
9n9yauxc,Inbound,Unreachable,Follow-up: digital guide 2,San Jose
52nymz7k,Inbound,Not feeling,,
86bhaiyb,Inbound,,,
jluf5wpr,Inbound,Not the right moment,,Chicago
rjv0j3l3,Inbound,Not Target,,Jacksonville
icaji6ev,Inbound,Not the right moment,,Fort Worth
1d65ewrz,Inbound,Not Fit,,Chicago
x11qe975,Inbound,Not the right moment,,San Antonio
m508m302,Inbound,Not Target,,Chicago
rlu5zf8q,Inbound,Not Target,,Dallas
mcaumj14,Inbound,Unreachable,,San Francisco
ndi4pvsw,Inbound,Unreachable,,
zmqd1unk,Inbound,Not Target,,New York
vzr3lou7,Inbound,Not Target,,San Diego
zqs7w41p,Inbound,Not the right moment,Follow-up: digital guide 2,
0trd16uu,Inbound,Not Target,,Chicago
i2qoqhoj,Inbound,Unreachable,,
mnab6s27,Inbound,Not the right moment,,San Diego
kplyojam,Inbound,Not the right moment,Follow-up: digital guide 2,San Antonio
0z77solh,Inbound,Not Target,,Seattle
848tqcar,Inbound,,,San Francisco
qd9w4zyi,Inbound,Unreachable,Follow-up: digital guide 2,
bggh1dpr,Inbound,,,San Diego
2fextmus,Inbound,Unreachable,,
re62a4tq,Inbound,Not Target,,Chicago
dkv0675j,Inbound,Competitor,,San Antonio
qdxvdp4i,Inbound,Unreachable,,San Francisco
4xoejgvy,Inbound,Not the right moment,Follow-up: digital guide 2,
e0g0i286,Inbound,Not feeling,,Denver
jx37s5lu,Inbound,Unreachable,Follow-up: digital guide 2,Denver
xm76axsr,Inbound,Unreachable,,San Francisco
mqfe3y4a,Inbound,Not the right moment,Follow-up: digital guide 2,
bmunuzll,Inbound,Unreachable,,Indianapolis
qovwcmnq,Inbound,Unreachable,,San Antonio
o12reztd,Inbound,Not the right moment,,San Francisco
q1otj8w9,Inbound,Wrong Data,June Launch,Houston
kz051cei,Inbound,Not Target,,Philadelphia
08j2vqgw,Inbound,,,Los Angeles
rzh71l3j,Inbound,Not Target,,Columbus
o6ua8ipm,Inbound,Unreachable,,Chicago
31qh4gtp,Inbound,Not feeling,Follow-up: digital guide 2,Jacksonville
9uk1r159,Inbound,Not the right moment,,Chicago
c0z9sp9s,Inbound,Not the right moment,Follow-up: digital guide 2,
s5w1mc58,Inbound,Not the right moment,,Austin
z2orju1k,Inbound,Not Fit,,Chicago
jj430cx9,Inbound,Competitor,,Seattle
gdp3wsni,Inbound,Not Fit,,Jacksonville
xw2yogvu,Inbound,Unreachable,Follow-up: digital guide 2,San Jose
