Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
2,2,1303.7540329575022,89,2,5,0,2,2019,10,2020,1
1,2,200.0,2,2,5,0,2,2019,1,2019,1
1,0,360.0,66,1,5,1,2,2019,11,2019,11
3,2,1303.7540329575022,2,2,5,0,2,2019,9,2020,1
1,1,360.0,79,1,5,0,2,2019,12,2019,12
2,0,0.0,2,2,3,0,2,2019,8,2019,8
2,2,1303.7540329575022,2,2,5,1,2,2019,11,2020,1
1,1,324.0,0,1,5,1,2,2020,4,2020,4
2,0,200.0,2,2,0,1,2,2019,2,2019,7
1,2,768.0,2,1,5,0,2,2020,3,2020,3
1,0,324.0,0,1,4,0,14,2019,10,2019,11
1,1,360.0,66,2,5,0,2,2019,12,2019,12
1,0,360.0,66,1,4,0,2,2019,11,2019,11
3,1,240.0,22,0,5,1,2,2019,11,2019,11
1,0,150.0,72,1,0,0,15,2019,11,2019,11
1,1,360.0,66,1,5,1,2,2019,11,2019,11
2,2,1303.7540329575022,2,2,5,1,2,2019,12,2020,1
3,0,150.0,65,1,1,0,15,2019,12,2019,12
1,1,360.0,66,1,5,0,2,2019,12,2019,12
1,1,240.0,62,1,5,0,2,2019,12,2019,12
3,2,1303.7540329575022,2,1,5,0,2,2020,3,2020,1
4,2,1303.7540329575022,2,1,5,0,2,2019,12,2019,12
4,1,1303.7540329575022,2,1,5,0,2,2019,12,2019,12
1,1,360.0,66,1,5,0,2,2020,1,2020,1
2,1,768.0,51,1,5,1,2,2020,3,2020,3
1,2,1303.7540329575022,2,1,5,0,2,2020,3,2020,1
2,2,1303.7540329575022,2,1,5,0,2,2020,4,2020,1
1,1,1344.0,110,0,5,0,2,2020,8,2020,8
1,1,576.0,3,2,5,1,2,2019,8,2019,8
1,0,240.0,62,0,0,0,2,2019,11,2019,11
2,2,600.0,69,1,5,0,2,2019,8,2020,1
2,0,768.0,51,0,1,0,2,2019,11,2019,11
2,1,360.0,1,0,5,0,2,2019,11,2019,11
1,1,360.0,66,1,5,0,2,2019,11,2019,11
2,2,1303.7540329575022,2,1,5,0,2,2019,11,2020,1
1,0,960.0,8,1,3,1,2,2019,11,2019,11
3,1,456.0,40,0,5,1,2,2020,3,2020,3
3,1,1344.0,6,1,5,0,2,2019,7,2019,12
1,1,360.0,66,0,5,0,2,2019,12,2019,12
1,0,324.0,0,2,1,1,15,2019,12,2019,12
3,2,1303.7540329575022,2,2,5,1,2,2019,12,2020,1
1,1,768.0,2,1,5,0,0,2019,12,2019,12
3,1,360.0,1,0,5,0,2,2019,12,2019,12
